 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000006-0.000002j), (0.000007-0.000002j), (0.000010-0.000003j), (0.000012-0.000003j), (0.000014-0.000004j), (0.000017-0.000004j), (0.000019-0.000005j), (0.000021-0.000005j), (0.000023-0.000006j), (0.000024-0.000006j), (0.000025-0.000006j), (0.000025-0.000006j), (0.000024-0.000006j), (0.000023-0.000006j), (0.000021-0.000005j), (0.000019-0.000005j), (0.000017-0.000004j), (0.000014-0.000004j), (0.000012-0.000003j), (0.000010-0.000003j), (0.000007-0.000002j), (0.000006-0.000002j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.001497-0.000780j), (0.003094-0.001719j), (0.004739-0.002925j), (0.006226-0.004467j), (0.007211-0.006360j), (0.007281-0.008560j), (0.006071-0.010954j), (0.003393-0.013378j), (-0.000655-0.015635j), (-0.005675-0.017538j), (-0.011083-0.018957j), (-0.016323-0.019863j), (-0.021113-0.020366j), (-0.025625-0.020718j), (-0.030472-0.021295j), (-0.036464-0.022539j), (-0.044183-0.024868j), (-0.053491-0.028565j), (-0.063151-0.033668j), (-0.070717-0.039867j), (-0.072690-0.046409j), (-0.064793-0.051885j), (-0.041961-0.053464j), (0.002511-0.044117j), (0.078633-0.002903j), (0.197453+0.137972j), (-0.665728+0.604072j), (0.201015+0.152258j), (0.087857+0.025254j), (0.018435-0.005004j), (-0.019990-0.007515j), (-0.038685-0.003335j), (-0.044830+0.001130j), (-0.043183+0.004121j), (-0.037181+0.005449j), (-0.029346+0.005468j), (-0.021399+0.004669j), (-0.014335+0.003491j), (-0.008532+0.002240j), (-0.003899+0.001071j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000005-0.000001j), (0.000006-0.000002j), (0.000008-0.000002j), (0.000010-0.000003j), (0.000012-0.000003j), (0.000014-0.000004j), (0.000016-0.000004j), (0.000018-0.000004j), (0.000019-0.000005j), (0.000020-0.000005j), (0.000021-0.000005j), (0.000021-0.000005j), (0.000020-0.000005j), (0.000019-0.000005j), (0.000018-0.000004j), (0.000016-0.000004j), (0.000014-0.000004j), (0.000012-0.000003j), (0.000010-0.000003j), (0.000008-0.000002j), (0.000006-0.000002j), (0.000005-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000817+0.000268j), (0.001547+0.000583j), (0.001984+0.000966j), (0.001803+0.001402j), (0.000611+0.001821j), (-0.001939+0.002092j), (-0.005984+0.002017j), (-0.011289+0.001355j), (-0.017163-0.000131j), (-0.022528-0.002609j), (-0.026175-0.006113j), (-0.027156-0.010491j), (-0.025223-0.015402j), (-0.021113-0.020366j), (-0.016546-0.024864j), (-0.013854-0.028464j), (-0.015287-0.030934j), (-0.022179-0.032316j), (-0.034252-0.032909j), (-0.049283-0.033180j), (-0.063283-0.033588j), (-0.071106-0.034344j), (-0.067170-0.035017j), (-0.045763-0.033598j), (-0.000281-0.023588j), (0.078594+0.015743j), (0.201015+0.152258j), (-0.658143+0.612074j), (0.213800+0.155475j), (0.105280+0.023631j), (0.038935-0.011006j), (0.001746-0.016819j), (-0.017398-0.014550j), (-0.025295-0.010606j), (-0.026237-0.006976j), (-0.023198-0.004206j), (-0.018307-0.002324j), (-0.012992-0.001168j), (-0.008057-0.000523j), (-0.003776-0.000189j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000005-0.000001j), (0.000006-0.000002j), (0.000008-0.000002j), (0.000010-0.000003j), (0.000011-0.000003j), (0.000013-0.000003j), (0.000014-0.000004j), (0.000015-0.000004j), (0.000016-0.000004j), (0.000017-0.000004j), (0.000017-0.000004j), (0.000016-0.000004j), (0.000015-0.000004j), (0.000014-0.000004j), (0.000013-0.000003j), (0.000011-0.000003j), (0.000010-0.000003j), (0.000008-0.000002j), (0.000006-0.000002j), (0.000005-0.000001j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000265+0.001294j), (-0.000816+0.002831j), (-0.001981+0.004754j), (-0.004123+0.007091j), (-0.007577+0.009721j), (-0.012509+0.012340j), (-0.018757+0.014458j), (-0.025691+0.015456j), (-0.032186+0.014695j), (-0.036770+0.011679j), (-0.037968+0.006222j), (-0.034779-0.001415j), (-0.027156-0.010491j), (-0.016323-0.019863j), (-0.004729-0.028196j), (0.004386-0.034243j), (0.007807-0.037147j), (0.003311-0.036667j), (-0.009486-0.033270j), (-0.028679-0.028044j), (-0.050200-0.022445j), (-0.068500-0.017935j), (-0.077566-0.015541j), (-0.071819-0.015320j), (-0.046333-0.015359j), (0.004229-0.008901j), (0.087857+0.025254j), (0.213800+0.155475j), (-0.642933+0.608598j), (0.232080+0.148706j), (0.125976+0.014536j), (0.060778-0.021487j), (0.023415-0.027637j), (0.002968-0.024760j), (-0.007078-0.019521j), (-0.010697-0.014224j), (-0.010548-0.009687j), (-0.008467-0.006134j), (-0.005652-0.003496j), (-0.002759-0.001554j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000005-0.000001j), (0.000006-0.000002j), (0.000007-0.000002j), (0.000009-0.000002j), (0.000010-0.000003j), (0.000011-0.000003j), (0.000012-0.000003j), (0.000013-0.000003j), (0.000013-0.000003j), (0.000013-0.000003j), (0.000013-0.000003j), (0.000012-0.000003j), (0.000011-0.000003j), (0.000010-0.000003j), (0.000009-0.000002j), (0.000007-0.000002j), (0.000006-0.000002j), (0.000005-0.000001j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.001576+0.002161j), (-0.003623+0.004724j), (-0.006543+0.007929j), (-0.010663+0.011835j), (-0.016163+0.016273j), (-0.022946+0.020794j), (-0.030518+0.024677j), (-0.037921+0.027002j), (-0.043789+0.026820j), (-0.046564+0.023386j), (-0.044870+0.016405j), (-0.037968+0.006222j), (-0.026175-0.006113j), (-0.011083-0.018957j), (0.004529-0.030350j), (0.017167-0.038420j), (0.023391-0.041811j), (0.020732-0.040029j), (0.008491-0.033617j), (-0.011798-0.024084j), (-0.036429-0.013601j), (-0.060121-0.004535j), (-0.076984+0.001103j), (-0.081563+0.002183j), (-0.069526-0.001017j), (-0.037493-0.005927j), (0.018435-0.005004j), (0.105280+0.023631j), (0.232080+0.148706j), (-0.625169+0.597388j), (0.250589+0.137595j), (0.145238+0.004496j), (0.080127-0.030037j), (0.042017-0.034456j), (0.020041-0.029807j), (0.007846-0.022944j), (0.001685-0.016281j), (-0.000841-0.010657j), (-0.001337-0.006234j), (-0.000847-0.002818j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000005-0.000001j), (0.000006-0.000002j), (0.000007-0.000002j), (0.000008-0.000002j), (0.000008-0.000002j), (0.000009-0.000002j), (0.000010-0.000003j), (0.000010-0.000003j), (0.000010-0.000003j), (0.000010-0.000003j), (0.000009-0.000002j), (0.000008-0.000002j), (0.000008-0.000002j), (0.000007-0.000002j), (0.000006-0.000002j), (0.000005-0.000001j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.002873+0.002769j), (-0.006362+0.006047j), (-0.010894+0.010133j), (-0.016708+0.015104j), (-0.023770+0.020750j), (-0.031692+0.026527j), (-0.039670+0.031560j), (-0.046517+0.034745j), (-0.050809+0.034946j), (-0.051158+0.031277j), (-0.046564+0.023386j), (-0.036770+0.011679j), (-0.022528-0.002609j), (-0.005675-0.017538j), (0.011048-0.030785j), (0.024428-0.040109j), (0.031416-0.043843j), (0.029833-0.041320j), (0.018988-0.033083j), (0.000039-0.020844j), (-0.024005-0.007169j), (-0.048695+0.005050j), (-0.068873+0.013208j), (-0.079556+0.015564j), (-0.076702+0.011689j), (-0.057528+0.002815j), (-0.019990-0.007515j), (0.038935-0.011006j), (0.125976+0.014536j), (0.250589+0.137595j), (-0.609729+0.585034j), (0.265227+0.128686j), (0.159753-0.000869j), (0.094273-0.032510j), (0.055244-0.034790j), (0.031783-0.028734j), (0.017662-0.021089j), (0.009318-0.014089j), (0.004531-0.008354j), (0.001793-0.003807j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000005-0.000001j), (0.000005-0.000002j), (0.000006-0.000002j), (0.000007-0.000002j), (0.000007-0.000002j), (0.000007-0.000002j), (0.000007-0.000002j), (0.000007-0.000002j), (0.000007-0.000002j), (0.000006-0.000002j), (0.000005-0.000002j), (0.000005-0.000001j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.003916+0.003073j), (-0.008535+0.006700j), (-0.014270+0.011207j), (-0.021239+0.016669j), (-0.029200+0.022855j), (-0.037499+0.029177j), (-0.045095+0.034698j), (-0.050688+0.038248j), (-0.052945+0.038638j), (-0.050809+0.034946j), (-0.043789+0.026820j), (-0.032186+0.014695j), (-0.017163-0.000131j), (-0.000655-0.015635j), (0.014892-0.029398j), (0.026897-0.039072j), (0.033083-0.042895j), (0.031899-0.040113j), (0.022876-0.031223j), (0.006842-0.017944j), (-0.014049-0.002919j), (-0.036510+0.010798j), (-0.056525+0.020371j), (-0.069934+0.023774j), (-0.073060+0.020229j), (-0.063196+0.010436j), (-0.038685-0.003335j), (0.001746-0.016819j), (0.060778-0.021487j), (0.145238+0.004496j), (0.265227+0.128686j), (-0.600047+0.577141j), (0.273129+0.126064j), (0.167075+0.000736j), (0.101103-0.028319j), (0.061311-0.029404j), (0.036775-0.023161j), (0.021322-0.015939j), (0.011447-0.009591j), (0.004908-0.004404j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000004-0.000001j), (0.000004-0.000001j), (0.000005-0.000001j), (0.000005-0.000001j), (0.000005-0.000001j), (0.000005-0.000001j), (0.000005-0.000001j), (0.000005-0.000001j), (0.000004-0.000001j), (0.000004-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.004536+0.003079j), (-0.009796+0.006704j), (-0.016150+0.011190j), (-0.023601+0.016604j), (-0.031736+0.022711j), (-0.039719+0.028927j), (-0.046380+0.034341j), (-0.050416+0.037826j), (-0.050688+0.038248j), (-0.046517+0.034745j), (-0.037921+0.027002j), (-0.025691+0.015456j), (-0.011289+0.001355j), (0.003393-0.013378j), (0.016349-0.026452j), (0.025771-0.035645j), (0.030275-0.039273j), (0.029051-0.036595j), (0.021947-0.028030j), (0.009522-0.015151j), (-0.006907-0.000429j), (-0.025271+0.013235j), (-0.042835+0.023082j), (-0.056453+0.027057j), (-0.062968+0.024236j), (-0.059701+0.015024j), (-0.044830+0.001130j), (-0.017398-0.014550j), (0.023415-0.027637j), (0.080127-0.030037j), (0.159753-0.000869j), (0.273129+0.126064j), (-0.598621+0.575880j), (0.272195+0.130068j), (0.165571+0.008133j), (0.099525-0.019651j), (0.059696-0.020942j), (0.034983-0.015716j), (0.019083-0.009774j), (0.008296-0.004549j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000003-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.004668+0.002838j), (-0.010024+0.006172j), (-0.016373+0.010281j), (-0.023630+0.015218j), (-0.031283+0.020759j), (-0.038417+0.026372j), (-0.043851+0.031234j), (-0.046380+0.034341j), (-0.045095+0.034698j), (-0.039670+0.031560j), (-0.030518+0.024677j), (-0.018757+0.014458j), (-0.005984+0.002017j), (0.006071-0.010954j), (0.015887-0.022452j), (0.022387-0.030538j), (0.024995-0.033741j), (0.023565-0.031397j), (0.018245-0.023838j), (0.009397-0.012401j), (-0.002361+0.000788j), (-0.016015+0.013195j), (-0.030005+0.022365j), (-0.042193+0.026409j), (-0.050050+0.024394j), (-0.051052+0.016525j), (-0.043183+0.004121j), (-0.025295-0.010606j), (0.002968-0.024760j), (0.042017-0.034456j), (0.094273-0.032510j), (0.167075+0.000736j), (0.272195+0.130068j), (-0.607019+0.579882j), (0.261596+0.138176j), (0.155222+0.018217j), (0.090255-0.009659j), (0.051613-0.012201j), (0.027768-0.008620j), (0.011999-0.004189j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000002-0.000000j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000001j), (0.000002-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.004358+0.002430j), (-0.009321+0.005278j), (-0.015125+0.008774j), (-0.021634+0.012955j), (-0.028312+0.017624j), (-0.034270+0.022327j), (-0.038417+0.026372j), (-0.039719+0.028927j), (-0.037499+0.029177j), (-0.031692+0.026527j), (-0.022946+0.020794j), (-0.012509+0.012340j), (-0.001939+0.002092j), (0.007281-0.008560j), (0.014080-0.017984j), (0.017959-0.024610j), (0.018942-0.027247j), (0.017354-0.025346j), (0.013553-0.019160j), (0.007769-0.009746j), (0.000125+0.001192j), (-0.009140+0.011598j), (-0.019374+0.019449j), (-0.029299+0.023150j), (-0.037020+0.021851j), (-0.040326+0.015624j), (-0.037181+0.005449j), (-0.026237-0.006976j), (-0.007078-0.019521j), (0.020041-0.029807j), (0.055244-0.034790j), (0.101103-0.028319j), (0.165571+0.008133j), (0.261596+0.138176j), (-0.625052+0.585849j), (0.242549+0.146942j), (0.138026+0.027856j), (0.075645-0.000876j), (0.039264-0.005022j), (0.016600-0.003088j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.003727+0.001939j), (-0.007946+0.004206j), (-0.012833+0.006980j), (-0.018233+0.010282j), (-0.023654+0.013951j), (-0.028312+0.017624j), (-0.031283+0.020759j), (-0.031736+0.022711j), (-0.029200+0.022855j), (-0.023770+0.020750j), (-0.016163+0.016273j), (-0.007577+0.009721j), (0.000611+0.001821j), (0.007211-0.006360j), (0.011518-0.013581j), (0.013421-0.018655j), (0.013292-0.020680j), (0.011704-0.019242j), (0.009113-0.014519j), (0.005659-0.007298j), (0.001182+0.001146j), (-0.004544+0.009258j), (-0.011459+0.015486j), (-0.018916+0.018578j), (-0.025592+0.017830j), (-0.029684+0.013230j), (-0.029346+0.005468j), (-0.023198-0.004206j), (-0.010697-0.014224j), (0.007846-0.022944j), (0.031783-0.028734j), (0.061311-0.029404j), (0.099525-0.019651j), (0.155222+0.018217j), (0.242549+0.146942j), (-0.650411+0.590516j), (0.218035+0.153681j), (0.117036+0.035090j), (0.058166+0.005428j), (0.023768-0.000200j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.002923+0.001440j), (-0.006220+0.003120j), (-0.010009+0.005168j), (-0.014149+0.007596j), (-0.018233+0.010282j), (-0.021634+0.012955j), (-0.023630+0.015218j), (-0.023601+0.016604j), (-0.021239+0.016669j), (-0.016708+0.015104j), (-0.010663+0.011835j), (-0.004123+0.007091j), (0.001803+0.001402j), (0.006226-0.004467j), (0.008713-0.009633j), (0.009360-0.013257j), (0.008665-0.014707j), (0.007251-0.013689j), (0.005569-0.010326j), (0.003705-0.005163j), (0.001382+0.000907j), (-0.001821+0.006787j), (-0.006143+0.011369j), (-0.011338+0.013739j), (-0.016544+0.013361j), (-0.020402+0.010187j), (-0.021399+0.004669j), (-0.018307-0.002324j), (-0.010548-0.009687j), (0.001685-0.016281j), (0.017662-0.021089j), (0.036775-0.023161j), (0.059696-0.020942j), (0.090255-0.009659j), (0.138026+0.027856j), (0.218035+0.153681j), (-0.679694+0.591898j), (0.191137+0.157141j), (0.094151+0.039200j), (0.037359+0.008540j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.002084+0.000984j), (-0.004428+0.002129j), (-0.007106+0.003522j), (-0.010009+0.005168j), (-0.012833+0.006980j), (-0.015125+0.008774j), (-0.016373+0.010281j), (-0.016150+0.011190j), (-0.014270+0.011207j), (-0.010894+0.010133j), (-0.006543+0.007929j), (-0.001981+0.004754j), (0.001984+0.000966j), (0.004739-0.002925j), (0.006039-0.006341j), (0.006047-0.008734j), (0.005227-0.009692j), (0.004116-0.009025j), (0.003087-0.006810j), (0.002191-0.003400j), (0.001155+0.000627j), (-0.000448+0.004554j), (-0.002937+0.007651j), (-0.006276+0.009306j), (-0.009943+0.009146j), (-0.013000+0.007115j), (-0.014335+0.003491j), (-0.012992-0.001168j), (-0.008467-0.006134j), (-0.000841-0.010657j), (0.009318-0.014089j), (0.021322-0.015939j), (0.034983-0.015716j), (0.051613-0.012201j), (0.075645-0.000876j), (0.117036+0.035090j), (0.191137+0.157141j), (-0.710672+0.589356j), (0.161970+0.156765j), (0.065201+0.038210j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.001303+0.000596j), (-0.002764+0.001289j), (-0.004428+0.002129j), (-0.006220+0.003120j), (-0.007946+0.004206j), (-0.009321+0.005278j), (-0.010024+0.006172j), (-0.009796+0.006704j), (-0.008535+0.006700j), (-0.006362+0.006047j), (-0.003623+0.004724j), (-0.000816+0.002831j), (0.001547+0.000583j), (0.003094-0.001719j), (0.003697-0.003734j), (0.003500-0.005144j), (0.002841-0.005708j), (0.002098-0.005317j), (0.001525-0.004015j), (0.001151-0.002006j), (0.000774+0.000375j), (0.000072+0.002709j), (-0.001220+0.004567j), (-0.003140+0.005585j), (-0.005403+0.005532j), (-0.007437+0.004366j), (-0.008532+0.002240j), (-0.008057-0.000523j), (-0.005652-0.003496j), (-0.001337-0.006234j), (0.004531-0.008354j), (0.011447-0.009591j), (0.019083-0.009774j), (0.027768-0.008620j), (0.039264-0.005022j), (0.058166+0.005428j), (0.094151+0.039200j), (0.161970+0.156765j), (-0.747133+0.581100j), (0.118336+0.144547j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000614+0.000276j), (-0.001303+0.000596j), (-0.002084+0.000984j), (-0.002923+0.001440j), (-0.003727+0.001939j), (-0.004358+0.002430j), (-0.004668+0.002838j), (-0.004536+0.003079j), (-0.003916+0.003073j), (-0.002873+0.002769j), (-0.001576+0.002161j), (-0.000265+0.001294j), (0.000817+0.000268j), (0.001497-0.000780j), (0.001721-0.001697j), (0.001571-0.002337j), (0.001218-0.002593j), (0.000852-0.002415j), (0.000601-0.001825j), (0.000477-0.000913j), (0.000376+0.000171j), (0.000130+0.001237j), (-0.000404+0.002091j), (-0.001260+0.002565j), (-0.002318+0.002554j), (-0.003310+0.002033j), (-0.003899+0.001071j), (-0.003776-0.000189j), (-0.002759-0.001554j), (-0.000847-0.002818j), (0.001793-0.003807j), (0.004908-0.004404j), (0.008296-0.004549j), (0.011999-0.004189j), (0.016600-0.003088j), (0.023768-0.000200j), (0.037359+0.008540j), (0.065201+0.038210j), (0.118336+0.144547j), (-0.818230+0.535689j)
